#This is the fibers geometry file for AESOP
#This file was first written at: Tue Apr  5 16:30:01 CEST 2016
#Original filename: /home/tdwelly/4most/OpSim/inputs_to_system_model/AESOP/info_2016-04-05/aesop-cfg.json
#This file contains one entry per Fiber/Positioner, and gives the coordinates and details of each fiber
#Other info:
#Pitch is 9.542mm between fibres
#Fibe size is 0.085, so 1.43 asec
#Plate scale is 0.0594 mm/asec
#FoV is 535mm = 2.502 degrees diameter
#Rad curve 4,653 mm
#Patrol requirement is 11.5mm, but in practice they expect 12.3mm +/- 0.5 (so 11.8-12.8mm)
#Description of columns:
#Index  Name        Format    Description
#-----  ----------- --------- --------------------------------------------------------------------------------
#1      id          integer   Fiber identification number
#2      x0_mm       float     offset of the fiber base position from the FoV centre in the x-direction (mm)
#3      y0_mm       float     offset of the fiber base position from the FoV centre in the x-direction (mm)
#4      res         integer   code giving the resolution code of the fiber (1=low res, 2=high res)
#5      sector      integer   ID of the sky fiber allocation sector that this fiber lies within
#6      EdgeFlag    integer   Flag set if the fiber is at edge of field (0=middle;1=border;2=edge;3=corner)
#7      Spectro     string    HR, LR-A, LR-B
#8      Slitlet     integer   Slitlet within spectrograph
#9      Slitpos     integer   Slitpos within slitlet
#-----  ----------- --------- --------------------------------------------------------------------------------
id            x0_mm     y0_mm       res      sector  EdgeFlag  Spectro  Slitlet  Slitpos
249         -170.7151    -7.1563    2       -1       -1      HR         8        7
250         -170.7153     2.3854    1       -1       -1    LR-A         8        7
251         -170.7148    11.9272    1       -1       -1    LR-B         8        6
252         -170.7135    21.4688    2       -1       -1      HR         8        6
253         -170.7114    31.0104    1       -1       -1    LR-A         8        6
254         -170.7087    40.5519    1       -1       -1    LR-B         8        5
255         -170.7052    50.0932    2       -1       -1      HR         8        5
256         -170.7009    59.6342    1       -1       -1    LR-A         8        5
257         -170.6959    69.1750    1       -1       -1    LR-B         8        4
258         -170.6902    78.7155    2       -1       -1      HR         8        4
259         -170.6837    88.2557    1       -1       -1    LR-A         8        4
260         -170.6765    97.7955    1       -1       -1    LR-B         8        3
261         -170.6686   107.3348    2       -1       -1      HR         8        3
262         -170.6599   116.8737    1       -1       -1    LR-A         8        3
263         -170.6505   126.4121    1       -1       -1    LR-B         8        2
264         -170.6403   135.9499    2       -1       -1      HR         8        2
265         -170.6294   145.4872    1       -1       -1    LR-A         8        2
266         -170.6178   155.0238    1       -1       -1    LR-B         8        1
267         -170.6054   164.5597    2       -1       -1      HR         8        1
268         -170.5923   174.0950    1       -1       -1    LR-A         8        1
269         -162.2743  -174.0950    1       -1       -1    LR-B         9       13
270         -162.2868  -164.5597    2       -1       -1      HR         9       13
271         -162.2986  -155.0238    1       -1       -1    LR-A         9       12
272         -162.3096  -145.4872    1       -1       -1    LR-B         9       12
273         -162.3200  -135.9499    2       -1       -1      HR         9       12
274         -162.3296  -126.4121    1       -1       -1    LR-A         9       11
275         -162.3386  -116.8737    1       -1       -1    LR-B         9       11
276         -162.3469  -107.3348    2       -1       -1      HR         9       11
277         -162.3544   -97.7955    1       -1       -1    LR-A         9       10
278         -162.3613   -88.2557    1       -1       -1    LR-B         9       10
279         -162.3674   -78.7155    2       -1       -1      HR         9       10
280         -162.3729   -69.1750    1       -1       -1    LR-A         9        9
281         -162.3776   -59.6342    1       -1       -1    LR-B         9        9
282         -162.3816   -50.0932    2       -1       -1      HR         9        9
283         -162.3850   -40.5519    1       -1       -1    LR-A         9        8
284         -162.3876   -31.0104    1       -1       -1    LR-B         9        8
285         -162.3895   -21.4688    2       -1       -1      HR         9        8
286         -162.3908   -11.9272    1       -1       -1    LR-A         9        7
